NU_IDENTIFICADOR;Regiao;UF;Município;Porte_pop2010;q14_1;nu_trabalhadores
11000120396;Região Norte;RO;Alta Floresta D'oeste;Pequeno II;68;5
11000206675;Região Norte;RO;Ariquemes;Médio;68;12
11000300594;Região Norte;RO;Cabixi;Pequeno I;8;10
11000403403;Região Norte;RO;Cacoal;Médio;542;15
11000515040;Região Norte;RO;Cerejeiras;Pequeno I;96;4
11000610994;Região Norte;RO;Colorado do Oeste;Pequeno I;16;6
11000704269;Região Norte;RO;Corumbiara;Pequeno I;192;19
11000815284;Região Norte;RO;Costa Marques;Pequeno I;23;1
11000920220;Região Norte;RO;Espigão D'oeste;Pequeno II;516;10
11001033077;Região Norte;RO;Guajará-mirim;Pequeno II;448;8
11001110191;Região Norte;RO;Jaru;Médio;281;8
11001120406;Região Norte;RO;Jaru;Médio;740;4
11001203860;Região Norte;RO;Ji-paraná;Grande;396;9
11001203903;Região Norte;RO;Ji-paraná;Grande;999;7
11001206559;Região Norte;RO;Ji-paraná;Grande;109;7
11001300784;Região Norte;RO;Machadinho D'oeste;Pequeno II;10;7
11001410522;Região Norte;RO;Nova Brasilândia D'oeste;Pequeno I;32;4
11001504890;Região Norte;RO;Ouro Preto do Oeste;Pequeno II;746;13
11001806352;Região Norte;RO;Pimenta Bueno;Pequeno II;295;12
11002003247;Região Norte;RO;Porto Velho;Grande;54;11
11002003250;Região Norte;RO;Porto Velho;Grande;365;11
11002003252;Região Norte;RO;Porto Velho;Grande;55;14
11002003255;Região Norte;RO;Porto Velho;Grande;1530;12
11002003262;Região Norte;RO;Porto Velho;Grande;142;15
11002020096;Região Norte;RO;Porto Velho;Grande;231;6
11002515462;Região Norte;RO;Presidente Médici;Pequeno II;58;9
11002604794;Região Norte;RO;Rio Crespo;Pequeno I;365;11
11002815370;Região Norte;RO;Rolim de Moura;Médio;47;11
11002903917;Região Norte;RO;Santa Luzia D'oeste;Pequeno I; ;14
11003006536;Região Norte;RO;Vilhena;Médio;1449;13
11003230216;Região Norte;RO;São Miguel do Guaporé;Pequeno II;220;3
11003303578;Região Norte;RO;Nova Mamoré;Pequeno II;295;13
11003404214;Região Norte;RO;Alvorada D'oeste;Pequeno I;200;8
11003703808;Região Norte;RO;Alto Alegre Dos Parecis;Pequeno I;486;5
11004030473;Região Norte;RO;Alto Paraíso;Pequeno I;106;10
11004504284;Região Norte;RO;Buritis;Pequeno II;0;12
11005003996;Região Norte;RO;Novo Horizonte do Oeste;Pequeno I; ;10
11006006576;Região Norte;RO;Cacaulândia;Pequeno I;85;8
11007015214;Região Norte;RO;Campo Novo de Rondônia;Pequeno I; ;6
11008004285;Região Norte;RO;Candeias do Jamari;Pequeno I;7;11
11009034703;Região Norte;RO;Castanheiras;Pequeno I;33;8
11009235631;Região Norte;RO;Chupinguaia;Pequeno I;50;4
11009415401;Região Norte;RO;Cujubim;Pequeno I;91;11
11010002863;Região Norte;RO;Governador Jorge Teixeira;Pequeno I;201;7
11010004007;Região Norte;RO;Governador Jorge Teixeira;Pequeno I;203;15
11011015018;Região Norte;RO;Itapuã do Oeste;Pequeno I;692;9
11012003504;Região Norte;RO;Ministro Andreazza;Pequeno I;231;8
11013012339;Região Norte;RO;Mirante da Serra;Pequeno I; ;12
11014012609;Região Norte;RO;Monte Negro;Pequeno I;122;3
11014303690;Região Norte;RO;Nova União;Pequeno I;82;3
11014530298;Região Norte;RO;Parecis;Pequeno I;106;6
11014630106;Região Norte;RO;Pimenteiras do Oeste;Pequeno I;185;6
11014703706;Região Norte;RO;Primavera de Rondônia;Pequeno I;250;7
11014800163;Região Norte;RO;São Felipe D'oeste;Pequeno I;112;10
11014901184;Região Norte;RO;São Francisco do Guaporé;Pequeno I;154;16
11015000810;Região Norte;RO;Seringueiras;Pequeno I;18;7
11015530316;Região Norte;RO;Teixeirópolis;Pequeno I;80;6
11016030012;Região Norte;RO;Theobroma;Pequeno I;100;2
11017000010;Região Norte;RO;Urupá;Pequeno I; ;5
11017515456;Região Norte;RO;Vale do Anari;Pequeno I;15;2
11018004037;Região Norte;RO;Vale do Paraíso;Pequeno I;2;7
12000106424;Região Norte;AC;Acrelândia;Pequeno I;225;13
12000504698;Região Norte;AC;Assis Brasil;Pequeno I;88;7
12001001490;Região Norte;AC;Brasiléia;Pequeno II;808;11
12001301971;Região Norte;AC;Bujari;Pequeno I;21;5
12001702166;Região Norte;AC;Capixaba;Pequeno I;501;14
12002001785;Região Norte;AC;Cruzeiro do Sul;Médio;103;23
12002501602;Região Norte;AC;Epitaciolândia;Pequeno I;530;15
12003001896;Região Norte;AC;Feijó;Pequeno II;107;11
12003202262;Região Norte;AC;Jordão;Pequeno I;38;4
12003301731;Região Norte;AC;Mâncio Lima;Pequeno I;702;17
12003401667;Região Norte;AC;Manoel Urbano;Pequeno I;116;9
12003501930;Região Norte;AC;Marechal Thaumaturgo;Pequeno I;105;18
12003806602;Região Norte;AC;Plácido de Castro;Pequeno I; ;9
12003931809;Região Norte;AC;Porto Walter;Pequeno I;610;13
12004001493;Região Norte;AC;Rio Branco;Grande;93;16
12004001495;Região Norte;AC;Rio Branco;Grande;124;15
12004001565;Região Norte;AC;Rio Branco;Grande;229;18
12004001580;Região Norte;AC;Rio Branco;Grande;520;23
12004001584;Região Norte;AC;Rio Branco;Grande;60;19
12004004458;Região Norte;AC;Rio Branco;Grande;61;16
12004004839;Região Norte;AC;Rio Branco;Grande;30;26
12004201671;Região Norte;AC;Rodrigues Alves;Pequeno I; ;13
12004302258;Região Norte;AC;Santa Rosa do Purus;Pequeno I;150;7
12004502167;Região Norte;AC;Senador Guiomard;Pequeno II;45;7
12005001606;Região Norte;AC;Sena Madureira;Pequeno II;305;5
12006002206;Região Norte;AC;Tarauacá;Pequeno II;26;8
12007001895;Região Norte;AC;Xapuri;Pequeno I;12;12
12008005065;Região Norte;AC;Porto Acre;Pequeno I;115;13
13000201964;Região Norte;AM;Alvarães;Pequeno I;114;23
13000601960;Região Norte;AM;Amaturá;Pequeno I;220;16
13000801982;Região Norte;AM;Anamã;Pequeno I;24;19
13001001992;Região Norte;AM;Anori;Pequeno I;9;5
13001403220;Região Norte;AM;Apuí;Pequeno I;98;8
13002002565;Região Norte;AM;Atalaia do Norte;Pequeno I;20;11
13003004258;Região Norte;AM;Autazes;Pequeno II;68;12
13004001995;Região Norte;AM;Barcelos;Pequeno II;58;37
13005003005;Região Norte;AM;Barreirinha;Pequeno II;508;33
13006003096;Região Norte;AM;Benjamin Constant;Pequeno II;340;58
13006303257;Região Norte;AM;Beruri;Pequeno I;335;12
13006803450;Região Norte;AM;Boa Vista do Ramos;Pequeno I;21;16
13007003248;Região Norte;AM;Boca do Acre;Pequeno II;132;14
13008001970;Região Norte;AM;Borba;Pequeno II;320;28
13008330609;Região Norte;AM;Caapiranga;Pequeno I;207;8
13009004274;Região Norte;AM;Canutama;Pequeno I;32;7
13010002288;Região Norte;AM;Carauari;Pequeno II;2;25
13011002009;Região Norte;AM;Careiro;Pequeno II;275;9
13011034251;Região Norte;AM;Careiro;Pequeno II;135;4
13011503756;Região Norte;AM;Careiro da Várzea;Pequeno II;419;18
13012002078;Região Norte;AM;Coari;Médio;280;27
13012036527;Região Norte;AM;Coari;Médio;70;28
13013005117;Região Norte;AM;Codajás;Pequeno II;122;5
13014003461;Região Norte;AM;Eirunepé;Pequeno II;20;11
13015001996;Região Norte;AM;Envira;Pequeno I;20;9
13016002055;Região Norte;AM;Fonte Boa;Pequeno II;91;17
13016515241;Região Norte;AM;Guajará;Pequeno I;10;22
13017003735;Região Norte;AM;Humaitá;Pequeno II;48;12
13018033657;Região Norte;AM;Ipixuna;Pequeno II;96;8
13018504181;Região Norte;AM;Iranduba;Pequeno II; ;21
13019002750;Região Norte;AM;Itacoatiara;Médio;271;19
13019020330;Região Norte;AM;Itacoatiara;Médio;453;15
13019503102;Região Norte;AM;Itamarati;Pequeno I;5;5
13020002088;Região Norte;AM;Itapiranga;Pequeno I;30;15
13021002838;Região Norte;AM;Japurá;Pequeno I;180;14
13022003446;Região Norte;AM;Juruá;Pequeno I;3;23
13023004289;Região Norte;AM;Jutaí;Pequeno I;25;13
13024004228;Região Norte;AM;Lábrea;Pequeno II;448;14
13025002246;Região Norte;AM;Manacapuru;Médio;451;18
13025036777;Região Norte;AM;Manacapuru;Médio;390;13
13025502034;Região Norte;AM;Manaquiri;Pequeno II; ;9
13026002569;Região Norte;AM;Manaus;Metrópole;32;26
13026002579;Região Norte;AM;Manaus;Metrópole;257;12
13026002583;Região Norte;AM;Manaus;Metrópole;167;17
13026002585;Região Norte;AM;Manaus;Metrópole;186;16
13026002589;Região Norte;AM;Manaus;Metrópole;87;19
13026002590;Região Norte;AM;Manaus;Metrópole;39;23
13026002599;Região Norte;AM;Manaus;Metrópole;62;14
13026002633;Região Norte;AM;Manaus;Metrópole;264;13
13026002644;Região Norte;AM;Manaus;Metrópole;403;15
13026002718;Região Norte;AM;Manaus;Metrópole;243;21
13026002719;Região Norte;AM;Manaus;Metrópole;79;13
13026002721;Região Norte;AM;Manaus;Metrópole;74;20
13026004389;Região Norte;AM;Manaus;Metrópole;52;21
13026032421;Região Norte;AM;Manaus;Metrópole;255;12
13026032471;Região Norte;AM;Manaus;Metrópole;564;19
13026034687;Região Norte;AM;Manaus;Metrópole;194;17
13026034697;Região Norte;AM;Manaus;Metrópole;89;11
13026034709;Região Norte;AM;Manaus;Metrópole;212;14
13027002344;Região Norte;AM;Manicoré;Pequeno II;157;40
13028003324;Região Norte;AM;Maraã;Pequeno I;400;38
13029002061;Região Norte;AM;Maués;Médio;671;11
13029002064;Região Norte;AM;Maués;Médio;179;9
13029020305;Região Norte;AM;Maués;Médio;382;8
13030003522;Região Norte;AM;Nhamundá;Pequeno I;132;10
13031015164;Região Norte;AM;Nova Olinda do Norte;Pequeno II;681;28
13032012429;Região Norte;AM;Novo Airão;Pequeno I; ;16
13033033339;Região Norte;AM;Novo Aripuanã;Pequeno II;39;13
13034001953;Região Norte;AM;Parintins;Grande;20;12
13034020351;Região Norte;AM;Parintins;Grande;23;19
13034020383;Região Norte;AM;Parintins;Grande;16;17
13035012541;Região Norte;AM;Pauini;Pequeno I;33;9
13035301988;Região Norte;AM;Presidente Figueiredo;Pequeno II;414;26
13035601985;Região Norte;AM;Rio Preto da Eva;Pequeno II;560;13
13036003988;Região Norte;AM;Santa Isabel do Rio Negro;Pequeno I;57;3
13037032199;Região Norte;AM;Santo Antônio do Içá;Pequeno II;55;8
13038003992;Região Norte;AM;São Gabriel da Cachoeira;Pequeno II;22;13
13039015510;Região Norte;AM;São Paulo de Olivença;Pequeno II;7;16
13039502060;Região Norte;AM;São Sebastião do Uatumã;Pequeno I;201;18
13040001993;Região Norte;AM;Silves;Pequeno I;523;13
13040603660;Região Norte;AM;Tabatinga;Médio;971;53
13041001969;Região Norte;AM;Tapauá;Pequeno I;8;32
13042005067;Região Norte;AM;Tefé;Médio;293;19
13042035913;Região Norte;AM;Tefé;Médio;335;12
13042305125;Região Norte;AM;Tonantins;Pequeno I;5;18
13042604122;Região Norte;AM;Uarini;Pequeno I;172;30
13043004259;Região Norte;AM;Urucará;Pequeno I;71;21
13044002062;Região Norte;AM;Urucurituba;Pequeno I;283;17
14000214908;Região Norte;RR;Amajari;Pequeno I;15;18
14000501591;Região Norte;RR;Alto Alegre;Pequeno I;156;3
14000501599;Região Norte;RR;Alto Alegre;Pequeno I;295;4
14001001581;Região Norte;RR;Boa Vista;Grande;1991;33
14001020035;Região Norte;RR;Boa Vista;Grande; ;32
14001020037;Região Norte;RR;Boa Vista;Grande; ;41
14001020090;Região Norte;RR;Boa Vista;Grande; ;32
14001036493;Região Norte;RR;Boa Vista;Grande; ;35
14001036495;Região Norte;RR;Boa Vista;Grande; ;29
14001036521;Região Norte;RR;Boa Vista;Grande;1632;24
14001501048;Região Norte;RR;Bonfim;Pequeno I;260;5
14001701043;Região Norte;RR;Cantá;Pequeno I;54;16
14002001546;Região Norte;RR;Caracaraí;Pequeno I;23;7
14002020586;Região Norte;RR;Caracaraí;Pequeno I;36;15
14002302260;Região Norte;RR;Caroebe;Pequeno I;88;8
14002803282;Região Norte;RR;Iracema;Pequeno I; ;1
14003006247;Região Norte;RR;Mucajaí;Pequeno I;320;7
14004001536;Região Norte;RR;Normandia;Pequeno I;54;3
14004520319;Região Norte;RR;Pacaraima;Pequeno I;67;9
14004701558;Região Norte;RR;Rorainópolis;Pequeno II;70;21
14005032507;Região Norte;RR;São João da Baliza;Pequeno I;285;8
14006003866;Região Norte;RR;São Luiz;Pequeno I;21;6
14007032693;Região Norte;RR;Uiramutã;Pequeno I;335;5
15001004200;Região Norte;PA;Abaetetuba;Grande;182;19
15001004201;Região Norte;PA;Abaetetuba;Grande;250;18
15001004202;Região Norte;PA;Abaetetuba;Grande;101;15
15001004203;Região Norte;PA;Abaetetuba;Grande;188;14
15001006755;Região Norte;PA;Abaetetuba;Grande;115;21
15001020178;Região Norte;PA;Abaetetuba;Grande;91;21
15001020185;Região Norte;PA;Abaetetuba;Grande;203;17
15001033311;Região Norte;PA;Abaetetuba;Grande;122;15
15001320358;Região Norte;PA;Abel Figueiredo;Pequeno I;80;8
15002004549;Região Norte;PA;Acará;Médio;106;19
15002004551;Região Norte;PA;Acará;Médio;98;21
15002030281;Região Norte;PA;Acará;Médio;59;13
15003004554;Região Norte;PA;Afuá;Pequeno II;13;20
15003403155;Região Norte;PA;Água Azul do Norte;Pequeno II;120;16
15004004226;Região Norte;PA;Alenquer;Médio;420;16
15004020450;Região Norte;PA;Alenquer;Médio;208;22
15005015223;Região Norte;PA;Almeirim;Pequeno II;85;21
15005033875;Região Norte;PA;Almeirim;Pequeno II;40;9
15006003631;Região Norte;PA;Altamira;Médio;145;14
15006020418;Região Norte;PA;Altamira;Médio;417;7
15006038400;Região Norte;PA;Altamira;Médio;0;7
15007004512;Região Norte;PA;Anajás;Pequeno II;877;12
15008004364;Região Norte;PA;Ananindeua;Grande;462;25
15008004371;Região Norte;PA;Ananindeua;Grande;438;22
15008004372;Região Norte;PA;Ananindeua;Grande;1043;35
15008004373;Região Norte;PA;Ananindeua;Grande;847;22
15008004835;Região Norte;PA;Ananindeua;Grande;1051;21
15008006554;Região Norte;PA;Ananindeua;Grande;598;30
15008006571;Região Norte;PA;Ananindeua;Grande;416;27
15008006579;Região Norte;PA;Ananindeua;Grande;724;27
15008033171;Região Norte;PA;Ananindeua;Grande;466;22
15008037741;Região Norte;PA;Ananindeua;Grande;1244;28
15008503379;Região Norte;PA;Anapu;Pequeno II;197;10
15009004552;Região Norte;PA;Augusto Corrêa;Pequeno II;134;28
15009035813;Região Norte;PA;Augusto Corrêa;Pequeno II;52;19
15009504393;Região Norte;PA;Aurora do Pará;Pequeno II;697;31
15010005121;Região Norte;PA;Aveiro;Pequeno I;198;12
15011003261;Região Norte;PA;Bagre;Pequeno II;202;18
15012015124;Região Norte;PA;Baião;Pequeno II;100;6
15012504209;Região Norte;PA;Bannach;Pequeno I;180;10
15013003288;Região Norte;PA;Barcarena;Médio;329;17
15013020581;Região Norte;PA;Barcarena;Médio;1067;21
15013033265;Região Norte;PA;Barcarena;Médio;111;13
15013035761;Região Norte;PA;Barcarena;Médio;201;12
15014003965;Região Norte;PA;Belém;Metrópole;504;11
15014003969;Região Norte;PA;Belém;Metrópole;169;24
15014004139;Região Norte;PA;Belém;Metrópole;398;16
15014004172;Região Norte;PA;Belém;Metrópole;214;14
15014004173;Região Norte;PA;Belém;Metrópole;374;17
15014004205;Região Norte;PA;Belém;Metrópole;396;21
15014004208;Região Norte;PA;Belém;Metrópole;224;21
15014004290;Região Norte;PA;Belém;Metrópole;456;30
15014004525;Região Norte;PA;Belém;Metrópole;354;16
15014004526;Região Norte;PA;Belém;Metrópole;144;17
15014004531;Região Norte;PA;Belém;Metrópole;350;23
15014020571;Região Norte;PA;Belém;Metrópole;108;15
15014504555;Região Norte;PA;Belterra;Pequeno I;220;18
15015004353;Região Norte;PA;Benevides;Médio;1249;25
15015020645;Região Norte;PA;Benevides;Médio;1839;41
15015704360;Região Norte;PA;Bom Jesus do Tocantins;Pequeno I;45;17
15015720177;Região Norte;PA;Bom Jesus do Tocantins;Pequeno I;32;12
15016015491;Região Norte;PA;Bonito;Pequeno I;111;11
15017003940;Região Norte;PA;Bragança;Grande;724;18
15017003946;Região Norte;PA;Bragança;Grande;260;13
15017003953;Região Norte;PA;Bragança;Grande;433;12
15017004138;Região Norte;PA;Bragança;Grande;192;22
15017204330;Região Norte;PA;Brasil Novo;Pequeno I;499;14
15017520258;Região Norte;PA;Brejo Grande do Araguaia;Pequeno I;160;19
15017804406;Região Norte;PA;Breu Branco;Médio;231;8
15017820221;Região Norte;PA;Breu Branco;Médio;204;8
15017820595;Região Norte;PA;Breu Branco;Médio;193;6
15018002491;Região Norte;PA;Breves;Médio;70;21
15018002518;Região Norte;PA;Breves;Médio;322;21
15018036213;Região Norte;PA;Breves;Médio;75;18
15019004402;Região Norte;PA;Bujaru;Pequeno II;648;20
15019504924;Região Norte;PA;Cachoeira do Piriá;Pequeno II;287;8
15020014757;Região Norte;PA;Cachoeira do Arari;Pequeno II;536;17
15021003411;Região Norte;PA;Cametá;Grande;940;20
15021003415;Região Norte;PA;Cametá;Grande;1795;17
15021003667;Região Norte;PA;Cametá;Grande;203;17
15021003674;Região Norte;PA;Cametá;Grande;530;29
15021004468;Região Norte;PA;Cametá;Grande;794;16
15021506677;Região Norte;PA;Canaã Dos Carajás;Pequeno II;72;24
15022003620;Região Norte;PA;Capanema;Médio;38;10
15022020229;Região Norte;PA;Capanema;Médio;60;16
15023004378;Região Norte;PA;Capitão Poço;Médio;374;37
15024004362;Região Norte;PA;Castanhal;Grande;138;22
15024006467;Região Norte;PA;Castanhal;Grande;200;21
15024006468;Região Norte;PA;Castanhal;Grande;160;19
15024006531;Região Norte;PA;Castanhal;Grande;84;17
15024015300;Região Norte;PA;Castanhal;Grande;97;17
15024030449;Região Norte;PA;Castanhal;Grande;135;20
15024036455;Região Norte;PA;Castanhal;Grande;171;16
15025030440;Região Norte;PA;Chaves;Pequeno II;279;16
15026005119;Região Norte;PA;Colares;Pequeno I;8;16
15027003684;Região Norte;PA;Conceição do Araguaia;Pequeno II;75;14
15027020390;Região Norte;PA;Conceição do Araguaia;Pequeno II;38;26
15027504951;Região Norte;PA;Concórdia do Pará;Pequeno II;603;13
15027604800;Região Norte;PA;Cumaru do Norte;Pequeno I;350;19
15027704365;Região Norte;PA;Curionópolis;Pequeno I;297;13
15027720020;Região Norte;PA;Curionópolis;Pequeno I;146;9
15028003304;Região Norte;PA;Curralinho;Pequeno II;555;28
15028504210;Região Norte;PA;Curuá;Pequeno I;725;32
15029004159;Região Norte;PA;Curuçá;Pequeno II;10;10
15029304387;Região Norte;PA;Dom Eliseu;Médio;159;19
15029320066;Região Norte;PA;Dom Eliseu;Médio;164;12
15029337655;Região Norte;PA;Dom Eliseu;Médio;64;17
15029503650;Região Norte;PA;Eldorado Dos Carajás;Pequeno II;100;10
15029515106;Região Norte;PA;Eldorado Dos Carajás;Pequeno II;330;11
15030036185;Região Norte;PA;Faro;Pequeno I;98;6
15030402581;Região Norte;PA;Floresta do Araguaia;Pequeno I;35;37
15030703123;Região Norte;PA;Garrafão do Norte;Pequeno II;527;23
15030904343;Região Norte;PA;Goianésia do Pará;Pequeno II;18;14
15031004171;Região Norte;PA;Gurupá;Pequeno II;408;47
15032005051;Região Norte;PA;Igarapé-açu;Pequeno II;837;11
15033004388;Região Norte;PA;Igarapé-miri;Médio;133;17
15033020048;Região Norte;PA;Igarapé-miri;Médio;200;21
15033037731;Região Norte;PA;Igarapé-miri;Médio;132;21
15034003239;Região Norte;PA;Inhangapi;Pequeno I;297;15
15034504338;Região Norte;PA;Ipixuna do Pará;Médio;72;3
15035004876;Região Norte;PA;Irituia;Pequeno II;290;23
15035020192;Região Norte;PA;Irituia;Pequeno II;175;18
15036004536;Região Norte;PA;Itaituba;Médio; ;38
15036020642;Região Norte;PA;Itaituba;Médio;814;17
15037004390;Região Norte;PA;Itupiranga;Médio;206;11
15037004392;Região Norte;PA;Itupiranga;Médio;406;13
15037030079;Região Norte;PA;Itupiranga;Médio;386;5
15037505045;Região Norte;PA;Jacareacanga;Pequeno I;379;28
15038004211;Região Norte;PA;Jacundá;Médio;790;37
15039003112;Região Norte;PA;Juruti;Pequeno II;45;28
15040004467;Região Norte;PA;Limoeiro do Ajuru;Pequeno II;48;19
15040504318;Região Norte;PA;Mãe do Rio;Pequeno II;222;33
15041004409;Região Norte;PA;Magalhães Barata;Pequeno I;184;11
15042004327;Região Norte;PA;Marabá;Grande;179;28
15042020082;Região Norte;PA;Marabá;Grande;76;14
15042020349;Região Norte;PA;Marabá;Grande;64;16
15042038050;Região Norte;PA;Marabá;Grande;47;12
15043020678;Região Norte;PA;Maracanã;Pequeno II;68;24
15044020486;Região Norte;PA;Marapanim;Pequeno II;263;21
15044204367;Região Norte;PA;Marituba;Grande;89;24
15044204374;Região Norte;PA;Marituba;Grande;20;26
15044204375;Região Norte;PA;Marituba;Grande;20;20
15044204382;Região Norte;PA;Marituba;Grande;36;16
15044503377;Região Norte;PA;Medicilândia;Pequeno II;78;15
15045003111;Região Norte;PA;Melgaço;Pequeno II;28;18
15046014810;Região Norte;PA;Mocajuba;Pequeno II;27;14
15047004558;Região Norte;PA;Moju;Médio;1293;25
15047004559;Região Norte;PA;Moju;Médio;920;24
15047538344;Região Norte;PA;Mojuí dos Campos;Pequeno I;67;5
15048004339;Região Norte;PA;Monte Alegre;Médio;258;22
15048020661;Região Norte;PA;Monte Alegre;Médio;99;11
15049005036;Região Norte;PA;Muaná;Pequeno II;78;17
15049505062;Região Norte;PA;Nova Esperança do Piriá;Pequeno II;83;27
15049706087;Região Norte;PA;Nova Ipixuna;Pequeno I;207;10
15050004996;Região Norte;PA;Nova Timboteua;Pequeno I;471;15
15050331799;Região Norte;PA;Novo Progresso;Pequeno II;586;7
15050604385;Região Norte;PA;Novo Repartimento;Médio;1062;11
15050604386;Região Norte;PA;Novo Repartimento;Médio; ;11
15050615255;Região Norte;PA;Novo Repartimento;Médio;256;10
15050615265;Região Norte;PA;Novo Repartimento;Médio;331;5
15050620065;Região Norte;PA;Novo Repartimento;Médio;588;8
15051004291;Região Norte;PA;Óbidos;Pequeno II;26;44
15051020067;Região Norte;PA;Óbidos;Pequeno II;53;27
15052004517;Região Norte;PA;Oeiras do Pará;Pequeno II;188;5
15053002488;Região Norte;PA;Oriximiná;Médio;336;24
15053011596;Região Norte;PA;Oriximiná;Médio;515;25
15054003105;Região Norte;PA;Ourém;Pequeno I;56;14
15054020473;Região Norte;PA;Ourém;Pequeno I;40;12
15054304499;Região Norte;PA;Ourilândia do Norte;Pequeno II;573;23
15054804376;Região Norte;PA;Pacajá;Pequeno II;318;5
15054904395;Região Norte;PA;Palestina do Pará;Pequeno I;480;14
15055004399;Região Norte;PA;Paragominas;Médio;21;31
15055020551;Região Norte;PA;Paragominas;Médio;23;14
15055303378;Região Norte;PA;Parauapebas;Grande;85;17
15055315112;Região Norte;PA;Parauapebas;Grande;192;20
15055315117;Região Norte;PA;Parauapebas;Grande;6;22
15055335839;Região Norte;PA;Parauapebas;Grande;112;18
15055504295;Região Norte;PA;Pau D'arco;Pequeno I;95;15
15056003109;Região Norte;PA;Peixe-boi;Pequeno I;161;17
15056305026;Região Norte;PA;Piçarra;Pequeno I;266;16
15056530865;Região Norte;PA;Placas;Pequeno II;131;10
15057003110;Região Norte;PA;Ponta de Pedras;Pequeno II;54;28
15058004355;Região Norte;PA;Portel;Médio;220;25
15058020080;Região Norte;PA;Portel;Médio;112;21
15059004522;Região Norte;PA;Porto de Moz;Pequeno II;35;16
15059015063;Região Norte;PA;Porto de Moz;Pequeno II;40;14
15060004381;Região Norte;PA;Prainha;Pequeno II;33;16
15060020051;Região Norte;PA;Prainha;Pequeno II;26;6
15061014880;Região Norte;PA;Primavera;Pequeno I;140;6
15061105114;Região Norte;PA;Quatipuru;Pequeno I;205;16
15061304415;Região Norte;PA;Redenção;Médio;806;12
15061606635;Região Norte;PA;Rio Maria;Pequeno I;229;13
15061804508;Região Norte;PA;Rondon do Pará;Pequeno II;350;12
15061820644;Região Norte;PA;Rondon do Pará;Pequeno II;557;10
15061904928;Região Norte;PA;Rurópolis;Pequeno II;530;10
15062002522;Região Norte;PA;Salinópolis;Pequeno II;40;5
15063011582;Região Norte;PA;Salvaterra;Pequeno II;800;24
15063510944;Região Norte;PA;Santa Bárbara do Pará;Pequeno I;29;12
15063520403;Região Norte;PA;Santa Bárbara do Pará;Pequeno I;21;7
15063520407;Região Norte;PA;Santa Bárbara do Pará;Pequeno I;38;7
15064003107;Região Norte;PA;Santa Cruz do Arari;Pequeno I;19;26
15065001830;Região Norte;PA;Santa Isabel do Pará;Médio;696;37
15065504324;Região Norte;PA;Santa Luzia do Pará;Pequeno I;399;13
15065804511;Região Norte;PA;Santa Maria Das Barreiras;Pequeno I;288;23
15066006539;Região Norte;PA;Santa Maria do Pará;Pequeno II;153;10
15067004513;Região Norte;PA;Santana do Araguaia;Médio;630;10
15068004477;Região Norte;PA;Santarém;Grande;49;17
15068015474;Região Norte;PA;Santarém;Grande;14;13
15068020499;Região Norte;PA;Santarém;Grande;15;16
15068020666;Região Norte;PA;Santarém;Grande;44;18
15068037213;Região Norte;PA;Santarém;Grande;12;17
15068037755;Região Norte;PA;Santarém;Grande;47;20
15068037865;Região Norte;PA;Santarém;Grande;4;14
15068037867;Região Norte;PA;Santarém;Grande;3;14
15069002523;Região Norte;PA;Santarém Novo;Pequeno I;12;21
15070020291;Região Norte;PA;Santo Antônio do Tauá;Pequeno II;228;14
15071020689;Região Norte;PA;São Caetano de Odivelas;Pequeno I;198;13
15071504838;Região Norte;PA;São Domingos do Araguaia;Pequeno II;377;16
15072003038;Região Norte;PA;São Domingos do Capim;Pequeno II;85;15
15073004354;Região Norte;PA;São Félix do Xingu;Médio;306;23
15074020465;Região Norte;PA;São Francisco do Pará;Pequeno I;418;16
15074504336;Região Norte;PA;São Geraldo do Araguaia;Pequeno II;94;17
15074603108;Região Norte;PA;São João da Ponta;Pequeno I;136;9
15074704342;Região Norte;PA;São João de Pirabas;Pequeno II; ;22
15075006169;Região Norte;PA;São João do Araguaia;Pequeno I;51;7
15076004341;Região Norte;PA;São Miguel do Guamá;Médio;1523;53
15076020050;Região Norte;PA;São Miguel do Guamá;Médio;1465;35
15077012615;Região Norte;PA;São Sebastião da Boa Vista;Pequeno II;163;15
15077020496;Região Norte;PA;São Sebastião da Boa Vista;Pequeno II;29;15
15077530559;Região Norte;PA;Sapucaia;Pequeno I;83;18
15078003682;Região Norte;PA;Senador José Porfírio;Pequeno I;33;13
15079004448;Região Norte;PA;Soure;Pequeno II;570;16
15079504437;Região Norte;PA;Tailândia;Médio;642;35
15079602520;Região Norte;PA;Terra Alta;Pequeno I;33;12
15079731819;Região Norte;PA;Terra Santa;Pequeno I;378;8
15080004469;Região Norte;PA;Tomé-açu;Médio;150;23
15080302519;Região Norte;PA;Tracuateua;Pequeno II;13;26
15080338414;Região Norte;PA;Tracuateua;Pequeno II;0;10
15080504562;Região Norte;PA;Trairão;Pequeno I;31;17
15080803033;Região Norte;PA;Tucumã;Pequeno II;670;21
15081004403;Região Norte;PA;Tucuruí;Médio;276;27
15081037401;Região Norte;PA;Tucuruí;Médio;281;18
15081204404;Região Norte;PA;Ulianópolis;Pequeno II;85;17
15081503235;Região Norte;PA;Uruará;Pequeno II;35;12
15082003263;Região Norte;PA;Vigia;Pequeno II;390;21
15082020326;Região Norte;PA;Vigia;Pequeno II;198;14
15083010980;Região Norte;PA;Viseu;Médio;656;21
